Top k,Question,Ground truth,Chatbot answer,Cosine similarity,Euclidean Distance,Pearson Corr,Response time,,top 1,419
1,What are the two types of pure substances?,Elements and compounds.,The two types of pure substances are elements and compounds. Elements are basic forms of matter that cannot be broken down into simpler substances by chemical reactions.,0.880586599,0.488699082,0.880503253,1.605997562,,,
1,What is an element?,A basic form of matter that cannot be broken down into simpler substances by chemical reactions.,"An element is a fundamental substance that cannot be broken down into simpler substances by chemical means. There are ninety-two naturally occurring elements, while the rest are man-made. The majority of these elements are solid, with eleven existing in a gaseous state at room temperature. Only two elements, mercury and bromine, are liquid at room temperature, while gallium and cesium become liquid just above room temperature (303 K).",0.856182157,0.536316774,0.856084682,4.065667391,,,
1,What are the three main categories of elements?,"Metals, non-metals, and metalloids.","Elements can be normally divided into three main categories: metals, non-metals, and metalloids. 

- **Metals**: They typically have a lustre, are silvery-grey or golden-yellow, conduct heat and electricity, are ductile, malleable, and sonorous. Examples include gold, silver, copper, iron, sodium, and potassium. Mercury is the only metal that is liquid at room temperature.

- **Non-metals**: These elements display a variety of colors, are poor conductors of heat and electricity, and are not lustrous, sonorous, or malleable. Examples include hydrogen, oxygen, iodine, carbon, bromine, and chlorine.

- **Metalloids**: These elements have intermediate properties between metals and non-metals. Examples are boron, silicon, and germanium. 

Currently, there are more than 100 known elements.",0.883445841,0.482812904,0.883366354,3.54369688,,,
1,What is a compound?,A substance composed of two or more elements chemically combined in a fixed proportion.,"A compound is a substance composed of two or more elements, chemically combined with one another in a fixed proportion.",0.944413889,0.333424991,0.944376366,1.690587044,,,
1,How do the properties of a compound compare to its constituent elements?,Compounds have entirely different properties than the elements that make them up.,"The properties of a compound differ significantly from those of its constituent elements. When elements react to form a compound, the new substance has totally different properties compared to the individual elements. In contrast, a mixture retains the properties of its constituent substances and has a variable composition, while the composition of a compound is always fixed.",0.895039201,0.458172005,0.894973802,2.56859684,,,
1,What are some examples of physical changes?,"Melting of ice, boiling of water, dissolving salt in water, and stretching a rubber band.","Some examples of physical changes include:

- Melting of butter in a pan
- Boiling of water to form steam
- Dissolving common salt in water
- Making a fruit salad with raw fruits

These changes occur without altering the chemical composition of the substances involved.",0.872975649,0.504032433,0.872888039,2.937305927,,,
1,What are some examples of chemical changes?,"Burning of wood, rusting of iron, and digestion of food.","Some examples of chemical changes include:

1. Burning of paper and wood
2. Rusting of an almirah
3. Passing electric current through water, resulting in the breakdown of water into hydrogen and oxygen gases

These processes involve a change in chemical composition and result in the formation of new substances.",0.848208352,0.550983922,0.848102946,2.075076103,,,
1,How can you distinguish between a mixture and a compound?,"Mixtures can be separated by physical methods, while compounds require chemical reactions to break down into their constituent elements.","To distinguish between a mixture and a compound, consider the following points:

1. **Formation**: Elements react to form new compounds, while a mixture consists of substances that are combined without any chemical reaction, meaning no new compound is formed.
2. **Composition**: A mixture has a variable composition, whereas the composition of a compound is always fixed.
3. **Properties**: A mixture retains the properties of its constituent substances, while a compound has entirely different properties from those of the individual elements that formed it.",0.903286437,0.439803495,0.903228753,10.60612917,,,
1,What are some common separation techniques used for mixtures?,"Filtration, evaporation, distillation, and chromatography.","Common separation techniques used for mixtures include:

1. **Handpicking** - A simple method for separating larger particles.
2. **Sieving** - Used to separate particles based on size.
3. **Filtration** - A method to separate solids from liquids or gases using a filter.

For more complex mixtures, special techniques may be required.",0.835817369,0.57303164,0.835701925,2.052424192,,,
1,What is a saturated solution?,A solution that has dissolved the maximum amount of solute at a given temperature.,"### (a) Saturated Solution
A saturated solution is a solution in which the maximum amount of solute has been dissolved in a solvent at a given temperature and pressure. For example, when salt is added to water and no more salt can dissolve, the solution is considered saturated.

### (b) Pure Substance
A pure substance is a material that has a constant composition and consistent properties throughout. An example of a pure substance is distilled water, which contains only H₂O molecules.

### (c) Colloid
A colloid is a mixture where tiny particles of one substance are dispersed evenly throughout another substance. An example of a colloid is milk, where fat globules are dispersed in water.

### (d) Suspension
A suspension is a heterogeneous mixture in which solid particles are suspended in a liquid or gas but will settle over time. An example of a suspension is muddy water, where soil particles are mixed with water.

### Classification of Mixtures
- **Homogeneous Mixtures**: soda water, air, vinegar, filtered tea
- **Heterogeneous Mixtures**: wood, soil",0.840101108,0.565506672,0.839993443,4.13847208,,,
1,What is the relationship between temperature and solubility?,The solubility of most solids in liquids increases with temperature.,"The relationship between temperature and solubility can be observed in the data collected by Pragya. As the temperature increases, the solubility of potassium nitrate, ammonium chloride, and potassium chloride generally increases, indicating that higher temperatures allow more of these substances to dissolve in water. For example, potassium nitrate's solubility rises from 21 grams at 283 K to 167 grams at 353 K. In contrast, sodium chloride shows little change in solubility with temperature, remaining relatively constant around 36-37 grams. Thus, the effect of temperature on solubility varies among different salts, with most salts exhibiting increased solubility at higher temperatures.",0.885407623,0.47873244,0.885335002,3.642476559,,,
1,What is the Tyndall effect used for?,"To distinguish between solutions and colloids, as only colloids exhibit the Tyndall effect.","The Tyndall effect is used to observe the scattering of light by colloidal particles, as seen when sunlight passes through mist in a dense forest. This effect makes the path of light visible due to the presence of tiny droplets of water acting as colloidal particles in the air.",0.889429026,0.470257308,0.889347881,2.555360317,,,
1,What are some examples of colloids in everyday life?,"Milk, fog, smoke, and shaving cream.","Some examples of colloids in everyday life include:

- **Aerosols**: Fog, clouds, and mist (liquid dispersed in gas)
- **Aerosols**: Smoke and automobile exhaust (solid dispersed in gas)
- **Foams**: Shaving cream (gas dispersed in liquid)
- **Emulsions**: Milk and face cream (liquid dispersed in liquid)
- **Sols**: Milk of magnesia and mud (solid dispersed in liquid)
- **Foams**: Foam, rubber, and sponge (gas dispersed in solid)
- **Gels**: Jelly, cheese, and butter (liquid dispersed in solid)
- **Solid Sols**: Coloured gemstones and milky glass (solid dispersed in solid)",0.820480239,0.599199069,0.820347948,2.996334314,,,
1,How are colloids useful in industry?,"They are used in the production of paints, medicines, and food products.",The PDF document you provided does not contain information for your question!,0.68723073,0.790909962,0.68701293,1.969336748,,,
1,What is the difference between evaporation and boiling?,"Evaporation is a surface phenomenon that occurs at any temperature, while boiling is a bulk phenomenon that occurs at a specific temperature (boiling point).","**Difference between Evaporation and Boiling:**

1. **Process**: 
   - **Evaporation** occurs at any temperature and involves the transition of molecules from the liquid phase to the gas phase at the surface of the liquid.
   - **Boiling** occurs at a specific temperature (boiling point) and involves the transition of molecules from the bulk of the liquid to the gas phase.

2. **Temperature**: 
   - Evaporation can happen at temperatures below the boiling point.
   - Boiling occurs at the boiling point of the liquid, which for water is 373 K (100°C).

3. **Energy**: 
   - In evaporation, only the molecules at the surface gain enough energy to escape into the gas phase.
   - In boiling, particles throughout the liquid gain enough energy to change into vapor.

4. **Nature**: 
   - Evaporation is a surface phenomenon.
   - Boiling is a bulk phenomenon, involving the entire liquid. 

5. **Rate**: 
   - Evaporation is generally slower and can be influenced by factors like temperature, surface area, and air movement.
   - Boiling occurs rapidly once the boiling point is reached.",0.93290644,0.366315598,0.932866212,4.578752041,,,
1,What factors affect the rate of evaporation?,"Surface area, temperature, humidity, and wind speed.","The rate of evaporation is affected by several factors:

1. **Surface Area**: An increase in surface area leads to an increase in the rate of evaporation, as evaporation is a surface phenomenon. For example, spreading out clothes for drying increases evaporation.

2. **Temperature**: Higher temperatures provide more kinetic energy to particles, allowing more of them to transition into the vapor state, thus increasing the rate of evaporation.

3. **Humidity**: A decrease in humidity enhances evaporation. High humidity means the air already contains a significant amount of water vapor, which slows down the evaporation process.

4. **Wind Speed**: Increased wind speed accelerates evaporation. Wind helps to carry away water vapor from the surface, reducing the concentration of water vapor in the air and promoting further evaporation.",0.824073215,0.59317248,0.823962951,6.64068985,,,
1,How does evaporation cause cooling?,"When particles evaporate, they absorb energy from the surroundings, resulting in a cooling effect.","Evaporation causes cooling because, in an open vessel, the liquid continuously evaporates. During this process, the particles of the liquid absorb energy from the surrounding environment to compensate for the energy lost during evaporation. This absorption of energy results in a decrease in temperature of the surroundings, making them feel cooler.",0.915664281,0.410696274,0.915608232,2.718030691,,,
1,What are some examples of cooling due to evaporation in daily life?,"Sweating, using a desert cooler, and sprinkling water on hot surfaces.","Examples of cooling due to evaporation in daily life include:

- Keeping an open dish of water near a window or under a fan, where the water evaporates and cools the surrounding air.
- Pouring acetone (nail polish remover) on your palm, which causes the palm to feel cool as the acetone evaporates and absorbs heat from the skin.
- Sprinkling water on roofs or open ground after a hot sunny day, where the evaporation of water helps to cool the surface.
- Wearing cotton clothes in summer, which absorb sweat and allow it to evaporate, cooling the body as the sweat evaporates. 
- Observing water droplets on the outer surface of a glass containing ice-cold water, where water vapor in the air condenses into droplets due to the cold surface, demonstrating the cooling effect of evaporation.",0.857296818,0.534234371,0.857195047,3.047476768,,,
1,What is the difference between a dilute and a concentrated solution?,A dilute solution has a lower concentration of solute compared to a concentrated solution.,"A dilute solution contains a relatively small amount of solute compared to the solvent, while a concentrated solution has a larger amount of solute relative to the solvent. These terms are comparative; for example, if one solution has less solute than another, it is considered dilute in comparison.",0.945954095,0.328773175,0.945919859,2.118539095,,,
1,How can you make a saturated solution?,By adding solute to a solvent until no more solute can dissolve at a given temperature.,The PDF document you provided does not contain information for your question!,0.673086061,0.808596244,0.672860592,1.558889389,,,
1,What happens when you cool a saturated solution?,Excess solute may precipitate out of the solution as its solubility decreases with decreasing temperature.,"When you cool a saturated solution, the solubility of the solute decreases, which can lead to the formation of crystals as the excess solute precipitates out of the solution. This process is influenced by temperature changes, as lower temperatures typically reduce the amount of solute that can remain dissolved in the solvent.",0.908017542,0.428911324,0.907955344,2.275998592,,,
1,What is the role of a solvent in a solution?,The solvent dissolves the solute to form a homogeneous mixture.,"The role of a solvent in a solution is to dissolve the solute, which is the component present in a lesser amount. The solvent is usually the component present in larger quantity. For example, in a sugar solution, water acts as the solvent that dissolves the sugar (solute).",0.863708349,0.522095121,0.863621987,2.904573679,,,
1,What is the role of a solute in a solution?,The solute is the substance being dissolved in the solvent.,"The role of a solute in a solution is to be the component that is dissolved in the solvent. In a solution, the solute is usually present in a lesser quantity compared to the solvent, which is the component that dissolves the solute. For example, in a sugar solution, sugar acts as the solute while water is the solvent. The solute contributes to the properties of the solution and can vary in concentration, affecting the solution's characteristics.",0.911623777,0.420419352,0.911566902,2.302776337,,,
1,Can gases be solutes or solvents?,"Yes, gases can be both solutes (e.g., carbon dioxide in soda water) and solvents (e.g., air).","Gases can act as solutes when they dissolve in liquids, as seen with oxygen and carbon dioxide in water, which are essential for aquatic life. Therefore, gases can be solutes in a solution. However, the document does not explicitly mention whether gases can also serve as solvents.",0.915001992,0.412305745,0.914946364,2.120607376,,,
1,What is an alloy?,"A mixture of two or more metals, or a metal and a non-metal.","**Alloy Definition:**

An alloy is a mixture of two or more metals or a metal and a non-metal. Alloys cannot be separated into their components by physical methods. Despite being a mixture, an alloy exhibits the properties of its constituents and can have a variable composition. For example, brass is an alloy composed of approximately 30% zinc and 70% copper.",0.888700658,0.471803653,0.888627546,2.301433802,,,
1,How are alloys different from compounds?,"Alloys retain the properties of their constituent metals, while compounds have entirely new properties.","Alloys differ from compounds in several ways: 

1. Alloys are mixtures of metals (or metals with non-metals) where no new compound is formed, while compounds are formed when elements react chemically to create a new substance.
2. Alloys have a variable composition, whereas the composition of a compound is always fixed.
3. Alloys retain the properties of their constituent metals, while compounds exhibit entirely different properties from the elements that formed them.",0.93787727,0.352484691,0.937839451,2.488872766,,,
1,What is the difference between a mixture and a pure substance in terms of composition?,"Mixtures have variable composition, while pure substances have a fixed composition.","The difference between a mixture and a pure substance in terms of composition is as follows:

- A **pure substance** consists of a single type of particle, meaning all its constituent particles are the same in their chemical nature. Examples include sodium chloride and sugar, which cannot be separated into different components by physical processes.

- A **mixture**, on the other hand, is made up of two or more different pure substances. Mixtures can be separated into their individual components through physical processes. Examples include milk, sea water, and soil, which contain multiple types of particles. 

In summary, pure substances have a uniform composition, while mixtures contain a combination of different substances.",0.918024774,0.404907952,0.9179702,3.117291212,,,
1,How can you test the purity of water?,"By checking its boiling point and freezing point, which should be 100°C and 0°C, respectively, for pure water.",The PDF document you provided does not contain information for your question!,0.690892309,0.786266734,0.690684346,1.464520454,,,
1,What is the significance of the Tyndall effect in nature?,It explains why the sky appears blue and why sunlight scattering through clouds creates a hazy appearance.,"The Tyndall effect is significant in nature as it can be observed when sunlight passes through the canopy of a dense forest, where mist contains tiny droplets of water. These droplets act as particles of a colloid dispersed in air, scattering light and making its path visible. This phenomenon highlights the presence of colloids in natural environments, such as fog and clouds, and demonstrates the stability and properties of colloidal mixtures.",0.843169786,0.560053954,0.843054931,3.022311687,,,
1,How are suspensions used in everyday life?,"They are found in products like paints, medicines, and cosmetics.","Suspensions are used in everyday life in various ways due to their unique properties. They are heterogeneous mixtures where solute particles remain suspended and are visible to the naked eye. Common examples include:

1. **Medicines**: Many liquid medications, such as certain antacids and antibiotics, are suspensions that need to be shaken before use to ensure even distribution of the active ingredients.

2. **Food Products**: Salad dressings, such as vinaigrettes, can be suspensions where oil and vinegar do not fully mix.

3. **Paints**: Many paints are suspensions of pigments in a liquid medium, allowing for easy application and even coverage.

4. **Cosmetics**: Some cosmetic products, like certain foundations and lotions, are suspensions that provide a smooth application.

5. **Water Treatment**: Suspensions are involved in processes like filtration, where solid particles are separated from water.

These examples illustrate how suspensions play a significant role in various aspects of daily life.",0.815040167,0.60821023,0.814906791,3.992220402,,,
1,What is the difference between a colloid and a suspension in terms of stability?,"Colloids are more stable than suspensions, as their particles do not settle down easily.","The difference between a colloid and a suspension in terms of stability is as follows:

- **Suspension**: A suspension is an unstable heterogeneous mixture where solute particles do not dissolve and can be seen with the naked eye. These particles settle down when left undisturbed, indicating instability. They can be separated by filtration.

- **Colloid**: A colloid is a more stable heterogeneous mixture where particles are uniformly spread throughout the solution and are too small to be seen with the naked eye. Although colloidal particles can scatter light (Tyndall effect), they do not settle out like those in a suspension, making colloids more stable than suspensions.",0.916182342,0.409432932,0.916126462,3.788098812,,,
1,What is the process of sublimation used for?,"To purify substances that readily sublime, such as camphor and naphthalene.","The process of sublimation is used to describe the direct change of a substance from a solid state to a gaseous state without passing through the liquid state. An example of sublimation is solid carbon dioxide (CO2), commonly known as dry ice, which converts directly to gas when the pressure is decreased to 1 atmosphere. This phenomenon illustrates how pressure and temperature influence the state of matter.",0.785191459,0.655451836,0.785049322,2.604103088,,,
1,How does pressure affect the state of matter?,"Increasing pressure can convert gases into liquids and, in some cases, even solids.","Pressure significantly affects the state of matter by influencing the distance between particles. When pressure is applied, particles can be brought closer together, which can lead to the liquefaction of gases when combined with a reduction in temperature. For example, solid carbon dioxide (dry ice) is stored under high pressure and sublimates directly to gas when the pressure is decreased to 1 atmosphere, bypassing the liquid state. Thus, both pressure and temperature are crucial in determining whether a substance exists as a solid, liquid, or gas.",0.890211764,0.468589878,0.890137815,2.927364826,,,
1,What is dry ice?,"Solid carbon dioxide, which sublimes directly into a gas without passing through the liquid state.","Dry ice is solid carbon dioxide (CO2) that is stored under high pressure. When the pressure is decreased to 1 atmosphere, solid CO2 sublimates directly into gas without transitioning to a liquid state. This process is known as sublimation.",0.880254306,0.489378572,0.880179078,2.702989578,,,
1,What is the difference between mass and weight?,"Mass is the amount of matter in an object, while weight is the force exerted on an object due to gravity.",The PDF document you provided does not contain information for your question!,0.677113243,0.803600366,0.676908597,1.684362411,,,
1,What is the SI unit of mass?,Kilogram (kg).,The PDF document you provided does not contain information for your question!,0.709146269,0.762697502,0.708932051,2.290160894,,,
1,What is the SI unit of weight?,Newton (N).,The PDF document you provided does not contain information for your question!,0.687144324,0.791019164,0.686915295,2.168972015,,,
1,What is density?,Mass per unit volume of a substance.,"Density is defined as the mass per unit volume of a substance, calculated using the formula: density = mass/volume.",0.896385132,0.455224927,0.896318481,2.22545743,,,
1,How can you compare the densities of different substances?,By measuring their mass and volume and calculating their density using the formula: density = mass/volume.,"To compare the densities of different substances, you can use the concept of relative density, which is the ratio of the density of a substance to the density of water. The formula for relative density is:

\[
\text{Relative Density} = \frac{\text{Density of Substance}}{\text{Density of Water}}
\]

Since the density of water is typically 1000 kg m³, you can calculate the density of any substance by rearranging the formula:

\[
\text{Density of Substance} = \text{Relative Density} \times \text{Density of Water}
\]

For example, if the relative density of silver is 10.8, its density can be calculated as:

\[
\text{Density of Silver} = 10.8 \times 1000 \, \text{kg m}^{-3} = 10800 \, \text{kg m}^{-3}
\]

This method allows you to determine which substance is heavier based on their densities.",0.86659556,0.516535471,0.8665077,6.64852643,,,
1,What is the relationship between density and the state of matter?,"Solids generally have higher densities than liquids, which in turn have higher densities than gases.",The PDF document you provided does not contain information for your question!,0.698727028,0.77623835,0.698527829,1.776560068,,,
1,Why does ice float on water?,Ice is less dense than liquid water because water expands when it freezes.,The PDF document you provided does not contain information for your question!,0.702178655,0.77177892,0.701983231,1.738927126,,,
1,What is the difference between a solution and a mixture?,"All solutions are mixtures, but not all mixtures are solutions. Solutions are specifically homogeneous mixtures.","A solution is a homogeneous mixture of two or more substances, where the components are evenly distributed at the particle level, such as in lemonade or soda water. In contrast, a mixture can be either homogeneous or heterogeneous. Homogeneous mixtures have a uniform composition throughout, while heterogeneous mixtures do not. Examples of heterogeneous mixtures include suspensions and colloidal solutions, which are not uniform at the particle level.",0.910832892,0.422296378,0.910775143,2.085758448,,,
1,What is an example of a solid solution?,"An alloy, such as brass (a mixture of copper and zinc).",The PDF document you provided does not contain information for your question!,0.679768565,0.800289243,0.679542253,1.330149651,,,
1,What is an example of a gaseous solution?,"Air, which is a mixture of various gases like oxygen and nitrogen.","An example of a gaseous solution is the dissolved gases in water, such as oxygen and carbon dioxide. These gases diffuse from the atmosphere and dissolve in water, which is essential for the survival of aquatic animals and plants.",0.841905246,0.56230729,0.84179673,2.254054308,,,
1,How can you separate the components of a mixture?,"By using physical methods such as filtration, evaporation, distillation, or chromatography, depending on the nature of the mixture.","Different methods of separation are used to obtain individual components from a mixture. Heterogeneous mixtures can be separated using simple physical methods such as handpicking, sieving, and filtration. In some cases, special techniques may be required for separation. For example, to obtain a colored component (dye) from blue or black ink, you can fill half a beaker with water and apply appropriate separation techniques.",0.897259654,0.453299789,0.897188398,2.630547762,,,
1,What is the difference between a colloid and a solution in terms of particle size?,Colloidal particles are larger than solute particles in a solution but still small enough to remain suspended.,"The difference between a colloid and a solution in terms of particle size is as follows:

- **Colloid**: The particles are relatively small and uniformly spread throughout the mixture, making it appear homogeneous. However, these particles are not visible to the naked eye and can scatter light, demonstrating the Tyndall effect.

- **Solution**: The particles are even smaller than those in a colloid and are completely dissolved in the solvent, resulting in a homogeneous mixture that does not scatter light and cannot be separated by filtration.

In summary, colloids have larger particles than solutions, which are fully dissolved.",0.903231943,0.439927383,0.9031688,2.749078751,,,
1,What is centrifugation?,A technique used to separate colloidal particles from a solution by spinning the mixture at high speeds.,Centrifugation is a separation technique used for mixtures where filtration cannot be applied. It operates on the principle that denser particles are forced to the bottom while lighter particles remain at the top when spun rapidly. This method is commonly used in diagnostic laboratories for blood and urine tests.,0.884353215,0.480929887,0.88427363,2.221551418,,,
1,What are some examples of emulsions?,"Milk, mayonnaise, and face cream.",The PDF document you provided does not contain information for your question!,0.694196452,0.782053151,0.693976845,2.611835003,,,
1,What are some examples of sols?,Milk of magnesia and mud.,The PDF document you provided does not contain information for your question!,0.694790746,0.781292855,0.694574343,5.581271172,,,
1,What are some examples of gels?,"Jelly, cheese, and butter.",The PDF document you provided does not contain information for your question!,0.694243112,0.781993491,0.694029146,1.585558891,,,
1,What is the difference between a physical property and a chemical property?,"Physical properties can be observed without changing the substance's chemical composition, while chemical properties describe how a substance reacts with other substances.","**Difference Between Physical and Chemical Properties:**

- **Physical Properties:** These are characteristics that can be observed and measured without changing the substance's chemical composition. Examples include color, hardness, density, melting point, and boiling point. Physical changes, such as the interconversion of states (e.g., ice to water), do not alter the chemical nature of the substance.

- **Chemical Properties:** These describe a substance's ability to undergo chemical changes and react with other substances. They involve changes in chemical composition, resulting in the formation of new substances. For instance, the ability of oil to burn in air is a chemical property, as it indicates a change in composition during combustion.

In summary, physical properties can be observed without altering the substance, while chemical properties involve changes that result in new substances.",0.941839116,0.341059786,0.941801911,5.277878761,,,
1,What are some examples of physical properties?,"Color, odor, density, melting point, boiling point, and solubility.","Some examples of physical properties include:

- Colour
- Hardness
- Rigidity
- Fluidity
- Density
- Melting point
- Boiling point

These properties can be observed and specified without changing the chemical nature of the substance.",0.872370869,0.505230909,0.872284622,2.106219292,,,
1,What are some examples of chemical properties?,"Flammability, reactivity with acids or bases, and ability to undergo combustion.",The PDF document you provided does not contain information for your question!,0.681569508,0.798035716,0.681353664,1.454934835,,,
1,How can you determine whether a change is physical or chemical?,"If the change results in a new substance with different properties, it is a chemical change. If the substance remains the same, it is a physical change.","To determine whether a change is physical or chemical, consider the following:

1. **Physical Changes**: These occur without altering the chemical composition of the substance. Examples include changes in state (like melting or boiling), cutting, and dissolving. The properties observed (such as color, hardness, and density) remain the same.

2. **Chemical Changes**: These involve a change in the chemical composition of the substance, resulting in the formation of new substances. Examples include burning, rusting, and the breakdown of water into hydrogen and oxygen gases.

In summary, if the change results in new substances with different chemical properties, it is a chemical change. If the change only affects physical properties without altering the substance's composition, it is a physical change.",0.94382801,0.335177529,0.943792821,3.380980492,,,
1,What is the law of conservation of mass?,It states that the total mass of the reactants in a chemical reaction is equal to the total mass of the products.,"The law of conservation of mass states that mass can neither be created nor destroyed in a chemical reaction. This principle was noted by scientists, including Lavoisier, who observed that the mass of the reactants equals the mass of the products in a chemical reaction. Dalton's atomic theory further explains this law by stating that atoms, the smallest particles of matter, are indivisible and cannot be created or destroyed during chemical reactions.",0.877047195,0.495888705,0.8769696,2.866915464,,,
1,How does the law of conservation of mass apply to chemical changes?,It implies that matter is neither created nor destroyed during a chemical reaction; it simply rearranges itself into new substances.,"The law of conservation of mass states that mass can neither be created nor destroyed in a chemical reaction. This principle is demonstrated in experiments where the mass of reactants before a reaction is equal to the mass of products after the reaction. For example, when solutions X and Y are mixed in a flask, weighing the flask before and after the reaction shows that the total mass remains constant, indicating that a chemical reaction has occurred without any loss or gain of mass. Dalton's atomic theory further supports this law by asserting that atoms, the smallest particles of matter, are neither created nor destroyed during chemical reactions.",0.877145533,0.495690362,0.877067309,2.807622671,,,
1,What is the difference between a molecule and an atom?,"A molecule is made up of two or more atoms chemically bonded together, while an atom is the smallest unit of an element.","Atoms are the basic building blocks of matter, while molecules are formed when two or more atoms chemically bond together. A molecule is the smallest particle of an element or compound that can exist independently and retains the properties of that substance. Atoms can be of the same element or different elements, and they can join to form various types of molecules, such as diatomic molecules (like O2) or polyatomic structures (like sulfur).",0.932890913,0.366358,0.932846903,2.093818903,,,
1,What is the difference between an element and a compound?,"Elements are made up of only one type of atom, while compounds are made up of two or more different types of atoms chemically combined.","An element is a pure substance that cannot be broken down into simpler substances and consists of only one type of atom. There are ninety-two naturally occurring elements, with the majority being solid, eleven in gaseous state, and two (mercury and bromine) in liquid state at room temperature. 

In contrast, a compound is a substance formed when two or more elements are chemically combined in a fixed proportion. Thus, the key difference is that elements are single types of atoms, while compounds consist of two or more different elements bonded together.",0.919437927,0.401402714,0.919388137,2.807800531,,,
1,How can you represent the composition of a compound?,"By using a chemical formula, which shows the types and numbers of atoms present in the compound.","To represent the composition of a compound, each student can hold two placards: one with the element's symbol in the right hand and the other with its valency in the left hand. By criss-crossing the valencies while keeping the symbols in place, students can form the compound's formula. For example, to create the formula for sodium sulphate (Na2SO4), two sodium ions (Na+) can be combined with one sulphate ion (SO4^2-). Additionally, using empty blister packs of medicines, you can cut them according to the valency of the elements to visually represent and create formulas by fixing one type of ion to another.",0.865835486,0.518004852,0.865741589,2.470546961,,,
